번호,발생시각,규모,깊이(km),위도,경도,위치
392,2009.4.2 20:28,3,,37.60 N,125.95 E,인천 강화군 서남서쪽 50km 해역
391,2009.3.30 5:58,2.3,,36.21 N,128.08 E,경북 김천시 북쪽 8km 지역
390,2009.3.26 22:21,2.9,,38.11 N,127.13 E,경기 연천군 동쪽 3km 지역
389,2009.3.26 2:32,2.3,,33.38 N,127.14 E,제주 서귀포시 성산 동쪽 24km 해역
388,2009.3.2 14:20,3.4,,37.08 N,124.65 E,충남 태안군 서격렬비도 북서쪽 95km 해역
387,2009.2.26 20:53,2.2,,36.94 N,129.36 E,경북 울진군 남서쪽 7km 지역
386,2009.2.26 15:03,2.7,,35.03 N,129.59 E,부산 기장군 남동쪽 41km 해역
385,2009.2.23 21:47,2.8,,37.13 N,126.01 E,인천 옹진군 덕적도 남서쪽 15km 해역
384,2009.2.19 0:01,2.3,,39.72 N,126.89 E,북한 함경남도 요덕 북북동쪽 9km 지역
383,2009.2.15 22:41,3,,35.76 N,125.71 E,전북 군산시 어청도 남남서쪽 47km 해역
382,2009.2.15 12:57,2.3,,35.85 N,127.72 E,전북 무주군 남남동쪽 18km 지역
381,2009.2.12 17:46,3.2,,35.26 N,127.44 E,전남 구례군 동쪽 7km 지역
380,2009.1.13 19:07,3,,36.47 N,129.64 E,경북 영덕군 동쪽 22km 해역
379,2009.1.9 20:53,3.2,,38.73 N,125.82 E,북한 황해북도 사리원 북북동쪽 22km 지역
378,2009.1.5 2:59,2.1,,33.47 N,127.31 E,제주 서귀포시 성산 동북동쪽 41km 해역
377,2009.1.2 8:15,2.2,,33.94 N,127.67 E,전남 고흥군 남남동쪽 82km 해역
